FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I011721AS1Y16Y17RC,C041,C041,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C048,C048,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C049,C049,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C050,C050,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C051,C051,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C052,C052,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C058,C058,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C059,C059,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C060,C060,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C061,C061,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C062,C062,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C0680,C0680,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C0689,C0689,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C069,C069,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C07,C07,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C080,C080,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C081,C081,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C089,C089,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C090,C090,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C091,C091,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C098,C098,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C099,C099,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C100,C100,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C101,C101,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C102,C102,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C103,C103,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C104,C104,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C108,C108,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C109,C109,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C110,C110,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C111,C111,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C112,C112,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C113,C113,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C118,C118,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C119,C119,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C12,C12,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C130,C130,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C131,C131,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C132,C132,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C138,C138,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C139,C139,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C140,C140,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C142,C142,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C148,C148,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C153,C153,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C154,C154,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C155,C155,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C158,C158,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C159,C159,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C160,C160,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C161,C161,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C162,C162,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C163,C163,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C164,C164,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C165,C165,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C166,C166,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C168,C168,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C169,C169,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C170,C170,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C171,C171,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C172,C172,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C173,C173,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C178,C178,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C179,C179,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C180,C180,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C181,C181,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C182,C182,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C183,C183,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C184,C184,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C185,C185,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C186,C186,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C187,C187,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C188,C188,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C189,C189,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C19,C19,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C20,C20,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C210,C210,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C211,C211,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C212,C212,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C218,C218,11,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C220,C220,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C221,C221,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
I011721AS1Y16Y17RC,C222,C222,9,1,40,4,4,0,,0,,0,C,N,N,,,,,
